Token: OPENTAG, Valor: <?php, Linea: 1
Token: VARIABLE, Valor: $variable1, Linea: 3
Token: EQUALS, Valor: =, Linea: 3
Token: INT, Valor: 10, Linea: 3
Token: SEMICOLON, Valor: ;, Linea: 3
Token: VARIABLE, Valor: $variable2, Linea: 4
Token: EQUALS, Valor: =, Linea: 4
Token: INT, Valor: 20, Linea: 4
Token: DOT, Valor: ., Linea: 4
Token: INT, Valor: 5, Linea: 4
Token: SEMICOLON, Valor: ;, Linea: 4
Token: VARIABLE, Valor: $cadena, Linea: 5
Token: EQUALS, Valor: =, Linea: 5
Token: STRING, Valor: Hola, mundo!, Linea: 5
Token: SEMICOLON, Valor: ;, Linea: 5
Token: VARIABLE, Valor: $booleano, Linea: 6
Token: EQUALS, Valor: =, Linea: 6
Token: TRUE, Valor: true, Linea: 6
Token: SEMICOLON, Valor: ;, Linea: 6
Token: VARIABLE, Valor: $suma, Linea: 9
Token: EQUALS, Valor: =, Linea: 9
Token: VARIABLE, Valor: $variable1, Linea: 9
Token: PLUS, Valor: +, Linea: 9
Token: VARIABLE, Valor: $variable2, Linea: 9
Token: SEMICOLON, Valor: ;, Linea: 9
Token: VARIABLE, Valor: $resta, Linea: 10
Token: EQUALS, Valor: =, Linea: 10
Token: VARIABLE, Valor: $variable1, Linea: 10
Token: MINUS, Valor: -, Linea: 10
Token: VARIABLE, Valor: $variable2, Linea: 10
Token: SEMICOLON, Valor: ;, Linea: 10
Token: VARIABLE, Valor: $multiplicacion, Linea: 11
Token: EQUALS, Valor: =, Linea: 11
Token: VARIABLE, Valor: $variable1, Linea: 11
Token: TIMES, Valor: *, Linea: 11
Token: INT, Valor: 3, Linea: 11
Token: SEMICOLON, Valor: ;, Linea: 11
Token: VARIABLE, Valor: $division, Linea: 12
Token: EQUALS, Valor: =, Linea: 12
Token: VARIABLE, Valor: $variable2, Linea: 12
Token: DIVIDE, Valor: /, Linea: 12
Token: VARIABLE, Valor: $variable1, Linea: 12
Token: SEMICOLON, Valor: ;, Linea: 12
Token: VARIABLE, Valor: $modulo, Linea: 13
Token: EQUALS, Valor: =, Linea: 13
Token: VARIABLE, Valor: $variable1, Linea: 13
Token: MODULO, Valor: %, Linea: 13
Token: INT, Valor: 3, Linea: 13
Token: SEMICOLON, Valor: ;, Linea: 13
Token: VARIABLE, Valor: $esIgual, Linea: 16
Token: EQUALS, Valor: =, Linea: 16
Token: LPAREN, Valor: (, Linea: 16
Token: VARIABLE, Valor: $variable1, Linea: 16
Token: EQ, Valor: ==, Linea: 16
Token: VARIABLE, Valor: $variable2, Linea: 16
Token: RPAREN, Valor: ), Linea: 16
Token: SEMICOLON, Valor: ;, Linea: 16
