Token: OPENTAG, Valor: <?php, Linea: 1
Token: INTERFACE, Valor: interface, Linea: 4
Token: ID, Valor: Operacion, Linea: 4
Token: LBRACE, Valor: {, Linea: 4
Token: PUBLIC, Valor: public, Linea: 5
Token: FUNCTION, Valor: function, Linea: 5
Token: ID, Valor: calcular, Linea: 5
Token: LPAREN, Valor: (, Linea: 5
Token: VARIABLE, Valor: $num1, Linea: 5
Token: COMMA, Valor: ,, Linea: 5
Token: VARIABLE, Valor: $num2, Linea: 5
Token: RPAREN, Valor: ), Linea: 5
Token: SEMICOLON, Valor: ;, Linea: 5
Token: RBRACE, Valor: }, Linea: 6
Token: CLASS, Valor: class, Linea: 9
Token: ID, Valor: Suma, Linea: 9
Token: IMPLEMENTS, Valor: implements, Linea: 9
Token: ID, Valor: Operacion, Linea: 9
Token: LBRACE, Valor: {, Linea: 9
Token: PUBLIC, Valor: public, Linea: 10
Token: FUNCTION, Valor: function, Linea: 10
Token: ID, Valor: calcular, Linea: 10
Token: LPAREN, Valor: (, Linea: 10
Token: VARIABLE, Valor: $num1, Linea: 10
Token: COMMA, Valor: ,, Linea: 10
Token: VARIABLE, Valor: $num2, Linea: 10
Token: RPAREN, Valor: ), Linea: 10
Token: LBRACE, Valor: {, Linea: 10
Token: RETURN, Valor: return, Linea: 11
Token: VARIABLE, Valor: $num1, Linea: 11
Token: PLUS, Valor: +, Linea: 11
Token: VARIABLE, Valor: $num2, Linea: 11
Token: SEMICOLON, Valor: ;, Linea: 11
Token: RBRACE, Valor: }, Linea: 12
Token: RBRACE, Valor: }, Linea: 13
Token: CLASS, Valor: class, Linea: 16
Token: ID, Valor: Resta, Linea: 16
Token: IMPLEMENTS, Valor: implements, Linea: 16
Token: ID, Valor: Operacion, Linea: 16
Token: LBRACE, Valor: {, Linea: 16
Token: PUBLIC, Valor: public, Linea: 17
Token: FUNCTION, Valor: function, Linea: 17
Token: ID, Valor: calcular, Linea: 17
Token: LPAREN, Valor: (, Linea: 17
Token: VARIABLE, Valor: $num1, Linea: 17
Token: COMMA, Valor: ,, Linea: 17
Token: VARIABLE, Valor: $num2, Linea: 17
Token: RPAREN, Valor: ), Linea: 17
Token: LBRACE, Valor: {, Linea: 17
Token: RETURN, Valor: return, Linea: 18
Token: VARIABLE, Valor: $num1, Linea: 18
Token: MINUS, Valor: -, Linea: 18
Token: VARIABLE, Valor: $num2, Linea: 18
Token: SEMICOLON, Valor: ;, Linea: 18
Token: RBRACE, Valor: }, Linea: 19
Token: RBRACE, Valor: }, Linea: 20
Token: CLASS, Valor: class, Linea: 23
