Token: OPENTAG, Valor: <?php, Linea: 1
Token: VARIABLE, Valor: $var1, Linea: 3
Token: EQUALS, Valor: =, Linea: 3
Token: INT, Valor: 1, Linea: 3
Token: SEMICOLON, Valor: ;, Linea: 3
Token: VARIABLE, Valor: $var2, Linea: 4
Token: EQUALS, Valor: =, Linea: 4
Token: FLOAT, Valor: 0.5, Linea: 4
Token: SEMICOLON, Valor: ;, Linea: 4
Token: VARIABLE, Valor: $var3, Linea: 5
Token: EQUALS, Valor: =, Linea: 5
Token: INT, Valor: 100, Linea: 5
Token: SEMICOLON, Valor: ;, Linea: 5
Token: VARIABLE, Valor: $result, Linea: 6
Token: EQUALS, Valor: =, Linea: 6
Token: VARIABLE, Valor: $var1, Linea: 6
Token: PLUS, Valor: +, Linea: 6
Token: VARIABLE, Valor: $var2, Linea: 6
Token: PLUS, Valor: +, Linea: 6
Token: VARIABLE, Valor: $var3, Linea: 6
Token: SEMICOLON, Valor: ;, Linea: 6
Token: VARIABLE, Valor: $string1, Linea: 9
Token: EQUALS, Valor: =, Linea: 9
Token: STRING, Valor: Hello\nWorld!, Linea: 9
Token: SEMICOLON, Valor: ;, Linea: 9
Token: VARIABLE, Valor: $string2, Linea: 10
Token: EQUALS, Valor: =, Linea: 10
Token: STRING, Valor: This is a \t tab., Linea: 10
Token: SEMICOLON, Valor: ;, Linea: 10
Token: VARIABLE, Valor: $escaped, Linea: 11
Token: EQUALS, Valor: =, Linea: 11
Token: STRING, Valor: She said, \"Hello!\", Linea: 11
Token: SEMICOLON, Valor: ;, Linea: 11
Token: VARIABLE, Valor: $isEqual, Linea: 14
Token: EQUALS, Valor: =, Linea: 14
Token: LPAREN, Valor: (, Linea: 14
Token: VARIABLE, Valor: $var1, Linea: 14
Token: EQ, Valor: ==, Linea: 14
Token: VARIABLE, Valor: $var2, Linea: 14
Token: RPAREN, Valor: ), Linea: 14
Token: SEMICOLON, Valor: ;, Linea: 14
Token: VARIABLE, Valor: $isNotEqual, Linea: 15
Token: EQUALS, Valor: =, Linea: 15
Token: LPAREN, Valor: (, Linea: 15
Token: VARIABLE, Valor: $var1, Linea: 15
Token: STRICTNEQ, Valor: !==, Linea: 15
Token: VARIABLE, Valor: $var2, Linea: 15
Token: RPAREN, Valor: ), Linea: 15
Token: SEMICOLON, Valor: ;, Linea: 15
Token: VARIABLE, Valor: $isGreaterOrEqual, Linea: 16
Token: EQUALS, Valor: =, Linea: 16
Token: LPAREN, Valor: (, Linea: 16
Token: VARIABLE, Valor: $var1, Linea: 16
Token: GEQ, Valor: >=, Linea: 16
Token: VARIABLE, Valor: $var2, Linea: 16
Token: RPAREN, Valor: ), Linea: 16
Token: SEMICOLON, Valor: ;, Linea: 16
Token: IF, Valor: if, Linea: 19
Token: LPAREN, Valor: (, Linea: 19
Token: VARIABLE, Valor: $var1, Linea: 19
Token: LT, Valor: <, Linea: 19
Token: VARIABLE, Valor: $var2, Linea: 19
Token: RPAREN, Valor: ), Linea: 19
Token: LBRACE, Valor: {, Linea: 19
Token: ECHO, Valor: echo, Linea: 20
Token: STRING, Valor: var1 es menor que var2, Linea: 20
Token: SEMICOLON, Valor: ;, Linea: 20
Token: RBRACE, Valor: }, Linea: 21
Token: ELSE, Valor: else, Linea: 21
Token: LBRACE, Valor: {, Linea: 21
Token: ECHO, Valor: echo, Linea: 22
Token: STRING, Valor: var1 es mayor o igual a var2, Linea: 22
Token: SEMICOLON, Valor: ;, Linea: 22
Token: RBRACE, Valor: }, Linea: 23
Token: FOR, Valor: for, Linea: 26
Token: LPAREN, Valor: (, Linea: 26
Token: VARIABLE, Valor: $i, Linea: 26
Token: EQUALS, Valor: =, Linea: 26
Token: INT, Valor: 0, Linea: 26
Token: SEMICOLON, Valor: ;, Linea: 26
Token: VARIABLE, Valor: $i, Linea: 26
Token: LT, Valor: <, Linea: 26
Token: INT, Valor: 4, Linea: 26
Token: SEMICOLON, Valor: ;, Linea: 26
Token: VARIABLE, Valor: $i, Linea: 26
Token: DOUBLEPLUS, Valor: ++, Linea: 26
Token: RPAREN, Valor: ), Linea: 26
Token: LBRACE, Valor: {, Linea: 26
Token: ECHO, Valor: echo, Linea: 27
Token: STRING, Valor: i: $i\n, Linea: 27
Token: SEMICOLON, Valor: ;, Linea: 27
Token: RBRACE, Valor: }, Linea: 28
Token: VARIABLE, Valor: $array, Linea: 30
Token: EQUALS, Valor: =, Linea: 30
Token: ARRAY, Valor: array, Linea: 30
Token: LPAREN, Valor: (, Linea: 30
Token: INT, Valor: 1, Linea: 30
Token: COMMA, Valor: ,, Linea: 30
Token: INT, Valor: 2, Linea: 30
Token: COMMA, Valor: ,, Linea: 30
Token: INT, Valor: 3, Linea: 30
Token: RPAREN, Valor: ), Linea: 30
Token: SEMICOLON, Valor: ;, Linea: 30
Token: FOREACH, Valor: foreach, Linea: 31
Token: LPAREN, Valor: (, Linea: 31
Token: VARIABLE, Valor: $array, Linea: 31
Token: AS, Valor: as, Linea: 31
Token: VARIABLE, Valor: $item, Linea: 31
Token: RPAREN, Valor: ), Linea: 31
Token: LBRACE, Valor: {, Linea: 31
Token: ECHO, Valor: echo, Linea: 32
Token: VARIABLE, Valor: $item, Linea: 32
Token: SEMICOLON, Valor: ;, Linea: 32
Token: RBRACE, Valor: }, Linea: 33
Token: VARIABLE, Valor: $isTrue, Linea: 36
Token: EQUALS, Valor: =, Linea: 36
Token: TRUE, Valor: true, Linea: 36
Token: AND, Valor: &&, Linea: 36
Token: FALSE, Valor: false, Linea: 36
Token: OR, Valor: ||, Linea: 36
Token: TRUE, Valor: true, Linea: 36
Token: SEMICOLON, Valor: ;, Linea: 36
Token: VARIABLE, Valor: $isNull, Linea: 43
Token: EQUALS, Valor: =, Linea: 43
Token: ID, Valor: NULL, Linea: 43
Token: SEMICOLON, Valor: ;, Linea: 43
Token: VARIABLE, Valor: $isFalse, Linea: 44
Token: EQUALS, Valor: =, Linea: 44
Token: FALSE, Valor: false, Linea: 44
Token: SEMICOLON, Valor: ;, Linea: 44
Token: VARIABLE, Valor: $isTrue, Linea: 45
Token: EQUALS, Valor: =, Linea: 45
Token: TRUE, Valor: true, Linea: 45
Token: SEMICOLON, Valor: ;, Linea: 45
Token: CLOSETAG, Valor: ?>, Linea: 46
